Education,Marital_Status,Income,Days_Since_Enrolled,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,HasKid,HasTeen,Age
Basic,Married,18393.0,2457,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP,1,0,46
Bachelor,Single,47139.0,2480,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP,1,1,68
Master,Married,38576.0,2482,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IN,0,1,47
PhD,Together,61905.0,2510,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA,0,1,45
Bachelor,Married,83715.0,2511,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA,0,0,58
Bachelor,Married,60597.0,2544,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP,0,1,56
Master,Single,6560.0,2564,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP,0,0,38
Master,Together,48330.0,2591,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP,0,1,59
PhD,Single,38236.0,2647,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP,1,1,52
Master,Married,22701.0,2662,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP,1,0,43
Master,Divorced,53367.0,2667,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AU,1,1,46
Bachelor,Together,34728.0,2699,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP,1,0,34
Master,Married,63915.0,2699,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AU,0,1,64
Master,Married,82504.0,2702,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IN,0,0,60
PhD,Single,38578.0,2737,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP,1,1,48
PhD,Single,38578.0,2737,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP,1,1,48
PhD,Married,79174.0,2899,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA,0,0,45
Master,Divorced,81975.0,2905,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA,0,1,58
Master,Married,43263.0,2950,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,SP,0,1,43
Bachelor,Single,27242.0,2960,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IN,1,0,50
Bachelor,Married,76445.0,3004,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,SA,1,0,49
Bachelor,Together,75276.0,3005,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,SP,0,0,55
Bachelor,Widow,34213.0,3025,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA,1,1,57
PhD,Together,72335.0,3050,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,SP,0,0,44
Master,Married,79143.0,3052,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,AU,0,0,56
Bachelor,Married,27469.0,3061,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,CA,0,0,73
Bachelor,Together,68695.0,2369,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,SP,0,0,51
Bachelor,Together,68695.0,2369,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,CA,0,0,51
Bachelor,Single,50388.0,2397,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,DE,0,1,63
PhD,Together,77622.0,2441,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,SA,0,1,50
Bachelor,Divorced,46102.0,2476,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,1,1,58
Master,Single,31859.0,2487,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,SP,1,0,40
Master,Single,23830.0,2507,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,SP,0,0,33
Bachelor,Married,24639.0,2517,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,AU,1,1,47
PhD,Together,71604.0,2589,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,SP,0,0,75
Bachelor,Married,27255.0,2599,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,SP,1,0,36
Bachelor,Together,55375.0,2620,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,CA,0,1,43
PhD,Married,77037.0,2624,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,SP,0,1,60
Bachelor,Single,24163.0,2625,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,SP,1,1,50
PhD,Together,69476.0,2637,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,US,0,0,51
Bachelor,Married,72063.0,2726,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,DE,0,1,41
Master,Married,58646.0,2749,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,SP,0,1,58
Master,Married,58646.0,2749,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,DE,0,1,58
Master,Widow,47570.0,2761,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,US,1,1,71
Bachelor,Married,80011.0,2791,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,AU,0,1,40
PhD,Single,54998.0,2841,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,SP,0,1,64
PhD,Single,60200.0,2908,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,SP,0,1,72
Bachelor,Married,63211.0,2969,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,SP,0,0,38
PhD,Single,48432.0,2984,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,SA,0,1,47
PhD,Single,48432.0,2984,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,CA,0,1,47
PhD,Single,48432.0,2984,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,IN,0,1,47
Master,Married,62845.0,3001,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,SP,1,1,71
Master,Married,62845.0,3001,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,SP,1,1,71
PhD,Together,65220.0,3029,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,DE,0,0,55
PhD,Married,74214.0,3037,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,SP,0,0,30
Master,Married,96547.0,2402,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,SP,0,0,40
Bachelor,Together,53863.0,2408,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,SP,0,1,65
Bachelor,Married,50447.0,2434,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,IN,1,0,50
Bachelor,Married,37716.0,2434,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,AU,0,1,67
Bachelor,Together,45203.0,2463,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,SA,1,0,38
Master,Married,37368.0,2560,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,SP,1,0,45
Bachelor,Married,67225.0,2580,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,US,0,1,65
Master,Together,65104.0,2592,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,CA,0,1,44
Master,Together,65104.0,2592,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,SP,0,1,44
Master,Married,81698.0,2600,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,SP,0,0,71
Bachelor,Single,70566.0,2631,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,SP,0,1,52
Bachelor,Together,69096.0,2640,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,DE,0,1,62
Bachelor,Married,71434.0,2649,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,SP,0,1,58
Bachelor,Married,33039.0,2658,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,SP,1,0,42
Bachelor,Married,33039.0,2658,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,CA,1,0,42
Bachelor,Together,46610.0,2711,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,SP,0,0,62
Bachelor,Single,49967.0,2721,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,CA,0,1,62
Bachelor,Married,53359.0,2763,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,US,1,1,44
Master,Married,49505.0,2846,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,SP,1,1,49
Master,Married,68657.0,2859,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,AU,0,0,74
Bachelor,Divorced,72071.0,2865,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,SP,0,1,66
Bachelor,Divorced,72071.0,2865,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,CA,0,1,66
Master,Single,59235.0,2898,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,IN,1,0,53
Bachelor,Together,21994.0,2917,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,AU,0,1,63
Bachelor,Together,21994.0,2917,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,SP,0,1,63
Bachelor,Married,69209.0,3015,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,CA,0,0,48
Bachelor,Together,31928.0,2458,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,IN,1,0,31
PhD,Single,74004.0,2490,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,IN,0,0,33
Master,Married,30390.0,2665,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,IN,0,0,33
Bachelor,Married,21355.0,2678,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,US,1,0,35
Bachelor,Married,26304.0,2736,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,DE,1,0,51
Master,Married,85710.0,2785,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,IN,0,0,31
Bachelor,Divorced,102692.0,2815,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,SA,0,0,46
Bachelor,Single,58350.0,2906,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,SP,0,1,49
Bachelor,Single,7500.0,2914,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,SP,1,1,42
Master,Single,18890.0,2961,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,SA,0,0,36
Basic,Married,20425.0,2973,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,CA,1,0,34
Basic,Married,20425.0,2973,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,DE,1,0,34
PhD,Divorced,41437.0,3010,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,SP,1,1,63
Master,Together,49912.0,3025,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,ME,0,1,71
Master,Together,49912.0,3025,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,AU,0,1,71
Bachelor,Married,79823.0,2455,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,0,AU,0,1,61
Bachelor,Divorced,85683.0,2465,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,SP,0,0,66
PhD,Divorced,47025.0,2505,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,1,1,55
PhD,Married,68397.0,2589,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,SA,0,1,44
PhD,Married,38175.0,2644,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,SP,1,0,36
Master,Single,46423.0,2649,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP,1,1,48
Master,Single,46423.0,2649,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP,1,1,48
Master,Together,30560.0,2732,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,SA,1,0,44
Master,Together,30560.0,2732,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,CA,1,0,44
Bachelor,Single,60152.0,2823,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,SP,0,1,41
Bachelor,Together,29672.0,2839,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SA,1,1,55
Bachelor,Together,29672.0,2839,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SP,1,1,55
Bachelor,Together,70321.0,2894,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0,SP,0,0,73
Bachelor,Married,56181.0,2902,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,SP,0,1,58
Basic,Married,24279.0,2912,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,SP,0,0,30
PhD,Married,68462.0,2929,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,SP,0,0,51
PhD,Married,55424.0,2946,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,1,0,SP,0,1,44
Bachelor,Married,49094.0,3011,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0,SP,0,1,47
Master,Widow,59184.0,3023,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,SP,0,1,59
Bachelor,Together,67430.0,3027,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,DE,0,0,33
Master,Married,30522.0,3046,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,SP,0,1,60
Master,Single,31878.0,2372,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,0,SP,0,1,43
Bachelor,Single,83528.0,2424,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,1,0,SP,0,0,28
Bachelor,Together,90300.0,2542,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,SP,0,0,41
Master,Single,68092.0,2560,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0,SA,0,0,42
Master,Married,53761.0,2626,7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,0,AU,1,1,48
Bachelor,Married,52845.0,2685,7,384,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,0,0,SP,1,0,47
Bachelor,Married,24027.0,2750,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,SP,1,0,44
Master,Together,7500.0,2783,7,2,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,0,0,IN,1,0,41
Bachelor,Together,42586.0,2973,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP,1,1,65
Bachelor,Together,42586.0,2973,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP,1,1,65
Basic,Together,9722.0,3000,7,6,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,1,0,SP,1,0,47
PhD,Married,86836.0,3020,7,179,21,273,0,21,63,1,6,10,6,5,1,0,1,1,0,1,0,SP,0,0,45
Bachelor,Married,30467.0,2467,8,1,3,8,2,5,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,1,0,48
PhD,Married,54549.0,2483,8,216,2,6,0,0,9,2,5,1,4,7,0,0,0,0,0,0,0,SA,0,1,68
Bachelor,Together,19444.0,2492,8,16,0,23,3,2,10,3,4,1,2,7,0,0,0,0,0,1,0,SA,1,0,38
Master,Together,69245.0,2521,8,428,30,214,80,30,61,2,6,5,10,3,0,0,0,0,0,0,0,SA,0,1,64
PhD,Divorced,72968.0,2560,8,1092,37,592,145,37,55,1,5,5,8,3,0,0,0,1,0,1,0,SP,0,0,57
Bachelor,Married,48686.0,2572,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SP,1,1,67
Bachelor,Married,73687.0,2578,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,1,0,SA,0,0,30
PhD,Single,82716.0,2601,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,0,0,0,0,CA,0,0,76
Master,Married,35523.0,2634,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,DE,1,0,39
PhD,Divorced,60554.0,2689,8,588,7,76,110,15,15,2,8,4,9,6,0,0,0,0,0,0,0,SA,1,0,45
Bachelor,Together,64090.0,2691,8,316,58,161,76,51,135,1,6,9,4,5,0,0,0,0,0,1,0,SA,0,1,64
Bachelor,Single,61559.0,2712,8,279,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,0,0,SP,0,1,55
PhD,Widow,71670.0,2720,8,1462,16,128,0,0,160,1,5,3,6,6,0,1,1,0,1,1,0,SP,0,0,58
PhD,Widow,67680.0,2748,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,AU,0,1,69
Bachelor,Married,54386.0,2773,8,277,21,64,62,21,25,2,3,2,10,3,0,0,0,0,0,0,0,SP,0,1,39
PhD,Single,64108.0,2828,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,AU,0,1,67
PhD,Together,69702.0,2860,8,664,9,240,50,19,57,2,7,7,10,4,0,0,0,0,0,0,0,SP,0,1,69
Bachelor,Single,47958.0,2891,8,268,11,88,15,3,22,2,6,3,5,5,0,0,0,0,0,0,0,SA,0,1,68
Bachelor,Married,67716.0,2900,8,530,142,217,62,9,56,4,7,4,13,5,0,1,0,0,0,0,0,CA,0,1,60
Bachelor,Together,34600.0,2909,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,1,0,SP,1,1,49
Bachelor,Together,34600.0,2909,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,1,0,SP,1,1,49
Bachelor,Married,48752.0,2929,8,73,57,100,71,15,0,5,6,1,5,9,0,0,0,0,0,1,0,SP,1,1,51
Master,Married,15716.0,2959,8,16,5,30,8,7,26,3,3,0,4,8,0,0,0,0,0,0,1,SA,1,0,32
PhD,Divorced,46610.0,2973,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,1,0,AU,0,1,68
Bachelor,Married,74985.0,3021,8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,0,DE,0,0,43
PhD,Single,45576.0,2397,9,56,19,29,2,14,25,1,3,1,3,8,0,0,0,0,0,1,0,SP,0,0,75
PhD,Single,113734.0,2397,9,6,2,3,1,262,3,0,27,0,0,1,0,0,0,0,0,0,0,SP,0,0,75
Bachelor,Single,57100.0,2407,9,158,11,99,15,11,17,2,3,2,7,3,0,0,0,0,0,0,0,SA,1,0,33
Bachelor,Married,24434.0,2407,9,3,2,8,20,0,17,2,2,1,2,7,0,0,0,0,0,0,0,IN,1,0,48
PhD,Married,37126.0,2456,9,45,3,9,4,4,7,1,1,2,2,6,1,0,0,0,0,1,0,SP,1,0,49
Bachelor,Single,45160.0,2457,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,AU,1,1,62
Bachelor,Together,33178.0,2515,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,SP,1,0,43
Master,Widow,64866.0,2519,9,508,5,21,7,5,10,4,7,3,7,5,0,1,0,0,0,0,0,CA,0,1,70
